publisher,title,issn_l,issn,oa_status,works
"Unknown / no publisher","Warasan Witsawakammasat Ratchamongkhon Thanyaburi","2697-4339","2697-4339","hybrid","9"
"BMJ","BMJ Case Reports","1757-790X","1757-790X","hybrid","8"
"Unknown / no publisher","JOURNAL OF RENEWABLE MATERIALS","2164-6325","2164-6325 2164-6341","hybrid","8"
"Agricultural Research Communication Centre","Indian Journal of Animal Research","0367-6722","0367-6722 0976-0555","hybrid","8"
"Unknown / no publisher","INTERNATIONAL JOURNAL OF MULTIDISCIPLINARY RESEARCH AND ANALYSIS","2643-9840","2643-9840 2643-9875","hybrid","8"
"Georg Thieme Verlag","Journal of Child Science","2474-5871","2474-5871","hybrid","8"
"Unknown / no publisher","Lecture Notes in Education Psychology and Public Media","2753-7048","2753-7048 2753-7056","hybrid","8"
"Unknown / no publisher","Advances in Economics Management and Political Sciences","2754-1169","2754-1169 2754-1177","hybrid","8"
"Unknown / no publisher","วารสารศึกษาศาสตร์ มหาวิทยาลัยทักษิณ","3027-8368","3027-8368","hybrid","8"
"Unknown / no publisher","BMJ","1756-1833","1756-1833","hybrid","7"
"Unknown / no publisher","International Journal of Human Resource Studies","2162-3058","2162-3058","hybrid","7"
"Institute of Medico-legal Publications Private Limited","Indian Journal of Public Health Research & Development","0976-0245","0976-0245 0976-5506","hybrid","7"
"Medknow","Journal of international oral health","0976-1799","0976-1799 0976-7428","hybrid","7"
"Unknown / no publisher","Asian Conference on Education & International Development official conference proceedings","2189-101X","2189-101X","hybrid","7"
"Unknown / no publisher","International Journal on Research and Development - A Management Review","2319-5479","2319-5479","hybrid","7"
"Unknown / no publisher","วารสารวิชาการการตลาดและการจัดการ มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี","2351-0579","2351-0579","hybrid","7"
"Unknown / no publisher","Frontiers in Engineering Innovation Research","3056-9273","3056-9273","hybrid","7"
"Unknown / no publisher","Philippine Journal of Physical Therapy","2766-3086","2766-3086","hybrid","7"
"Unknown / no publisher","International Conference of Business and Social Sciences","2746-5667","2746-5667","hybrid","7"
"Kyushu University","Proceedings of International Exchange and Innovation Conference on Engineering & Sciences (IEICES)","2434-1436","2434-1436","hybrid","7"
"Unknown / no publisher","Eruditio Indonesia Journal of Food and Drug Safety","2747-2493","2747-2493 2807-6222","hybrid","7"
"Unknown / no publisher","Journal of Dental Anesthesia and Pain Medicine","2383-9317","2383-9317","hybrid","6"
"Korean Society of Environmental Helath and Toxicology","Environmental Analysis Health and Toxicology","2671-9525","2671-9525","hybrid","6"
"Spandidos Publishing","International Journal of Molecular Medicine","1107-3756","1107-3756 1791-244X","hybrid","6"
"Unknown / no publisher","ARTS Bulletin :","2811-3950","2811-3950","hybrid","6"
"International Information and Engineering Association","Mathematical Modelling and Engineering Problems","2369-0739","2369-0739 2369-0747","hybrid","6"
"Atlantis Press","Atlantis Highlights in Computer Sciences/Atlantis highlights in computer sciences","2589-4900","2589-4900 2731-7900","hybrid","6"
"Unknown / no publisher","Journal of biomimetics, biomaterials and biomedical engineering","2296-9837","2296-9837 2296-9845 2296-9853","hybrid","6"
"Unknown / no publisher","The Kyoto Conference on Arts, Media & Culture official conference proceedings","2436-0503","2436-0503","hybrid","6"
"Lippincott Williams & Wilkins","JBI Evidence Synthesis","2689-8381","2689-8381","hybrid","6"
"Unknown / no publisher","Journal of Electrical Systems","1112-5209","1112-5209","hybrid","6"
"Unknown / no publisher","Green Inflation","3048-0612","3048-0612","hybrid","6"
"Publishing house ""Virtus Interpress""","Corporate Governance and Sustainability Review","2519-8971","2519-8971 2519-898X","hybrid","6"
"Unknown / no publisher","Strategic Perspectives on Business and Marketing Management","3088-1633","3088-1633","hybrid","6"
"Unknown / no publisher","Springer Proceedings in Humanities and Social Sciences","2948-2526","2948-2526 2948-2534","hybrid","6"
"Unknown / no publisher","วารสารการบริหารการปกครองและนวัตกรรมท้องถิ่น","2673-0405","2673-0405 3027-8120","hybrid","6"
"Unknown / no publisher","Research Medical Journal","3088-2788","3088-2788","hybrid","6"
"Unknown / no publisher","Journal of Medicine and Urban Health","3088-2826","3088-2826 3088-2834","hybrid","6"
"Unknown / no publisher","Asian Pacific Journal of Allergy and Immunology","2228-8694","2228-8694","hybrid","5"
"Unknown / no publisher","Review of Economics and Finance","1923-7529","1923-7529 1923-8401","hybrid","5"
"Lippincott Williams & Wilkins","Journal of Glaucoma","1057-0829","1057-0829 1536-481X","hybrid","5"
"ELEWA BIOSCIENCES, F.a.C.T.LTD","The Journal of Animal and Plant Sciences","1018-7081","1018-7081 2309-8694","hybrid","5"
"International Scientific Information Inc.","Medical science monitor basic research/Medical science monitor. Basic research","2325-4394","2325-4394 2325-4416","hybrid","5"
"Unknown / no publisher","The Thai Journal of Pharmaceutical Sciences","3027-7922","3027-7922","hybrid","5"
"Unknown / no publisher","International Review of Electrical Engineering (IREE)","1827-6660","1827-6660 1827-6679 2533-2244","hybrid","5"
"Atlantis Press","Advances in biological sciences research/Advances in Biological Sciences Research","2468-5747","2468-5747 2731-7846","hybrid","5"
"Springer International Publishing","Historical & cultural astronomy","2509-310X","2509-310X 2509-3118","hybrid","5"
"Atlantis Press","Advances in health sciences research/Advances in Health Sciences Research","2468-5739","2468-5739 2731-7862","hybrid","5"
"Unknown / no publisher","Journal of Environmental Exposure Assessment","2771-5949","2771-5949","hybrid","5"
"Unknown / no publisher","Poligrafi","2232-5174","2232-5174","hybrid","5"
"Unknown / no publisher","Applied & Educational Psychology","2523-5842","2523-5842","hybrid","5"
"Wiley","Integrative Conservation","2770-9329","2770-9329","hybrid","5"
"SAGE Publishing","Pharmacognosy Magazine","0973-1296","0973-1296 0976-4062","hybrid","5"
"Materials and Energy Research Center","International Journal of Engineering","1025-2495","1025-2495 1735-9244","hybrid","5"
"Springer International Publishing","IMISCOE research series","2364-4087","2364-4087 2364-4095","hybrid","5"
"Institute of Physics","Japanese Journal of Applied Physics","0021-4922","0021-4922 1347-4065","hybrid","5"
"Unknown / no publisher","Journal of Humanities Arts and Social Science","2576-0548","2576-0548 2576-0556","hybrid","5"
"Unknown / no publisher","Gazzetta Medica Italiana Archivio per le Scienze Mediche","0393-3660","0393-3660 1827-1812","hybrid","5"
"Spandidos Publishing","Molecular Medicine Reports","1791-2997","1791-2997 1791-3004","hybrid","5"
"Unknown / no publisher","International Journal of Latest Technology in Engineering Management & Applied Science","2278-2540","2278-2540","hybrid","5"
"Unknown / no publisher","Journal of the Siam Society","2651-1851","2651-1851","hybrid","5"
"World Scientific","Asian Case Research Journal","0218-9275","0218-9275 1793-6772","hybrid","5"
"Unknown / no publisher","ŬzMU habarlari.","2181-7324","2181-7324","hybrid","5"
"Unknown / no publisher","Research Journal for Social Affairs","3006-5232","3006-5232 3006-5240","hybrid","5"
"Unknown / no publisher","The critical review of social sciences studies","3006-7162","3006-7162 3006-7170","hybrid","5"
"Unknown / no publisher","Journal of Advanced Research Design","2289-7984","2289-7984","hybrid","5"
"Lippincott Williams & Wilkins","The Pediatric Infectious Disease Journal","0891-3668","0891-3668 1532-0987","hybrid","4"
"Unknown / no publisher","European Journal of Science and Mathematics Education","2301-251X","2301-251X","hybrid","4"
"Unknown / no publisher","Jurnal Pendidikan Progresif","2087-9849","2087-9849 2550-1313","hybrid","4"
"Unknown / no publisher","The Korean Journal of Orthodontics","1225-5610","1225-5610 2005-372X 2234-7518","hybrid","4"
"Science Press","Journal of Southwest Jiaotong University","0258-2724","0258-2724","hybrid","4"
"Unknown / no publisher","International Journal of Advanced Research","2320-5407","2320-5407","hybrid","4"
"Unknown / no publisher","Journal of Public Administration and Governance","2161-7104","2161-7104","hybrid","4"
"Association of Pharmaceutical Teachers of India","Indian Journal of Pharmaceutical Education and Research","0019-5464","0019-5464","hybrid","4"
